epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,885.355,1.06574,1.87581,0.8814,0.7531,0.47301,0.54033,0.364,1.05474,1.04169,0.8674,0.000382827,0.000127609,0.000382827,0.000127609,0.000382827,0.000127609,0.000382827,0.000127609
31,910.513,1.0719,1.86733,0.88244,0.74637,0.47898,0.55625,0.37319,1.06055,1.03543,0.86818,0.000377511,0.000125837,0.000377511,0.000125837,0.000377511,0.000125837,0.000377511,0.000125837
32,944.128,1.04604,1.80546,0.88089,0.70221,0.50412,0.56602,0.37961,1.0651,1.01284,0.87014,0.000372195,0.000124065,0.000372195,0.000124065,0.000372195,0.000124065,0.000372195,0.000124065
33,979.964,1.04829,1.77606,0.88262,0.69395,0.52587,0.5814,0.39587,1.01585,0.98823,0.86159,0.000366878,0.000122293,0.000366878,0.000122293,0.000366878,0.000122293,0.000366878,0.000122293
34,1000.35,1.04635,1.75573,0.87807,0.66588,0.53615,0.58767,0.39703,1.02805,0.974,0.86236,0.000361562,0.000120521,0.000361562,0.000120521,0.000361562,0.000120521,0.000361562,0.000120521
35,1030.28,1.02775,1.72869,0.88089,0.7389,0.54766,0.59781,0.40809,1.01141,0.95831,0.85981,0.000356246,0.000118749,0.000356246,0.000118749,0.000356246,0.000118749,0.000356246,0.000118749
36,1059.65,1.03304,1.72099,0.87453,0.7178,0.55358,0.60594,0.41541,0.99952,0.9478,0.85968,0.000350929,0.000116976,0.000350929,0.000116976,0.000350929,0.000116976,0.000350929,0.000116976
37,1090.45,1.01829,1.68262,0.87755,0.73868,0.54801,0.61298,0.4154,1.02081,0.9362,0.86333,0.000345613,0.000115204,0.000345613,0.000115204,0.000345613,0.000115204,0.000345613,0.000115204
38,1121.52,1.02343,1.70504,0.8758,0.71662,0.56073,0.61836,0.42005,1.02385,0.92756,0.8644,0.000340297,0.000113432,0.000340297,0.000113432,0.000340297,0.000113432,0.000340297,0.000113432
39,1150,1.02166,1.6713,0.87675,0.6985,0.57552,0.62682,0.42855,1.00724,0.90757,0.8596,0.000334981,0.00011166,0.000334981,0.00011166,0.000334981,0.00011166,0.000334981,0.00011166
40,1178.47,1.02107,1.67267,0.87356,0.69936,0.59044,0.64339,0.44235,0.98891,0.89385,0.85699,0.000329664,0.000109888,0.000329664,0.000109888,0.000329664,0.000109888,0.000329664,0.000109888
41,1205.62,1.03586,1.62934,0.87457,0.83025,0.55665,0.6547,0.44994,0.98331,0.88247,0.85723,0.000324348,0.000108116,0.000324348,0.000108116,0.000324348,0.000108116,0.000324348,0.000108116
42,1236.41,1.00467,1.59675,0.8742,0.76281,0.59719,0.66473,0.46361,0.94824,0.87091,0.85264,0.000319032,0.000106344,0.000319032,0.000106344,0.000319032,0.000106344,0.000319032,0.000106344
43,1263.03,1.02196,1.60914,0.86959,0.77418,0.60015,0.67405,0.45912,0.99907,0.86812,0.85803,0.000313715,0.000104572,0.000313715,0.000104572,0.000313715,0.000104572,0.000313715,0.000104572
44,1289.34,1.00827,1.60026,0.87273,0.79569,0.59224,0.67825,0.4627,1.01554,0.86772,0.85971,0.000308399,0.0001028,0.000308399,0.0001028,0.000308399,0.0001028,0.000308399,0.0001028
45,1321.83,0.99483,1.56333,0.86815,0.80046,0.60359,0.68856,0.475,0.97121,0.85443,0.85484,0.000303083,0.000101028,0.000303083,0.000101028,0.000303083,0.000101028,0.000303083,0.000101028
46,1354.75,0.99283,1.55983,0.86756,0.77846,0.6309,0.69552,0.47314,1.00338,0.84242,0.85886,0.000297766,9.92555e-05,0.000297766,9.92555e-05,0.000297766,9.92555e-05,0.000297766,9.92555e-05
47,1381.82,1.00256,1.53664,0.87247,0.77601,0.62852,0.69897,0.47931,0.98253,0.83759,0.85578,0.00029245,9.74834e-05,0.00029245,9.74834e-05,0.00029245,9.74834e-05,0.00029245,9.74834e-05
48,1408.59,0.99958,1.55564,0.87072,0.80253,0.64146,0.71504,0.49493,0.9808,0.83252,0.85336,0.000287134,9.57113e-05,0.000287134,9.57113e-05,0.000287134,9.57113e-05,0.000287134,9.57113e-05
49,1439.46,0.99317,1.51811,0.86816,0.76999,0.65725,0.71722,0.49887,0.97571,0.82105,0.85379,0.000281818,9.39392e-05,0.000281818,9.39392e-05,0.000281818,9.39392e-05,0.000281818,9.39392e-05
