epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,373.31,0.93514,1.69437,0.8439,0.72607,0.57888,0.61161,0.44317,0.83289,0.90941,0.83457,0.000382827,0.000127609,0.000382827,0.000127609,0.000382827,0.000127609,0.000382827,0.000127609
31,385.763,0.92797,1.65939,0.84355,0.70503,0.60393,0.62306,0.45113,0.82794,0.8867,0.83233,0.000377511,0.000125837,0.000377511,0.000125837,0.000377511,0.000125837,0.000377511,0.000125837
32,397.496,0.92367,1.62865,0.84186,0.70947,0.61796,0.64048,0.46695,0.82066,0.86631,0.83197,0.000372195,0.000124065,0.000372195,0.000124065,0.000372195,0.000124065,0.000372195,0.000124065
33,409.188,0.94061,1.61075,0.84226,0.72644,0.61629,0.64903,0.47128,0.82577,0.85596,0.83251,0.000366878,0.000122293,0.000366878,0.000122293,0.000366878,0.000122293,0.000366878,0.000122293
34,421.649,0.93622,1.59402,0.84493,0.7674,0.61014,0.66303,0.48087,0.82464,0.84237,0.83234,0.000361562,0.000120521,0.000361562,0.000120521,0.000361562,0.000120521,0.000361562,0.000120521
35,433.43,0.93247,1.59847,0.84291,0.75343,0.6198,0.67505,0.49083,0.81793,0.82962,0.83091,0.000356246,0.000118749,0.000356246,0.000118749,0.000356246,0.000118749,0.000356246,0.000118749
36,445.388,0.90981,1.54465,0.84207,0.80306,0.62017,0.68988,0.50039,0.82014,0.81829,0.83129,0.000350929,0.000116976,0.000350929,0.000116976,0.000350929,0.000116976,0.000350929,0.000116976
37,459.318,0.91834,1.53494,0.84129,0.81078,0.61011,0.69853,0.50797,0.81429,0.80182,0.82982,0.000345613,0.000115204,0.000345613,0.000115204,0.000345613,0.000115204,0.000345613,0.000115204
38,471.075,0.91481,1.52333,0.84458,0.80906,0.62951,0.70686,0.51525,0.81728,0.7971,0.83063,0.000340297,0.000113432,0.000340297,0.000113432,0.000340297,0.000113432,0.000340297,0.000113432
39,482.796,0.89545,1.4776,0.84087,0.81456,0.64045,0.7276,0.52981,0.81104,0.78621,0.83004,0.000334981,0.00011166,0.000334981,0.00011166,0.000334981,0.00011166,0.000334981,0.00011166
40,496.128,0.90768,1.48452,0.83778,0.83373,0.64062,0.73619,0.5351,0.8116,0.77426,0.82995,0.000329664,0.000109888,0.000329664,0.000109888,0.000329664,0.000109888,0.000329664,0.000109888
41,507.835,0.90802,1.47028,0.83799,0.79675,0.66149,0.74114,0.53868,0.80527,0.75934,0.82852,0.000324348,0.000108116,0.000324348,0.000108116,0.000324348,0.000108116,0.000324348,0.000108116
42,519.623,0.90542,1.44624,0.84519,0.82915,0.64895,0.74743,0.54484,0.809,0.75524,0.82885,0.000319032,0.000106344,0.000319032,0.000106344,0.000319032,0.000106344,0.000319032,0.000106344
43,533.094,0.89567,1.43996,0.83711,0.82543,0.65582,0.74846,0.5481,0.80614,0.75004,0.82761,0.000313715,0.000104572,0.000313715,0.000104572,0.000313715,0.000104572,0.000313715,0.000104572
44,545.595,0.90504,1.43747,0.84024,0.85415,0.64754,0.76191,0.55425,0.80491,0.73657,0.82766,0.000308399,0.0001028,0.000308399,0.0001028,0.000308399,0.0001028,0.000308399,0.0001028
45,557.305,0.89405,1.42613,0.83851,0.84233,0.66898,0.77008,0.56004,0.80644,0.73094,0.82882,0.000303083,0.000101028,0.000303083,0.000101028,0.000303083,0.000101028,0.000303083,0.000101028
46,571.88,0.88788,1.39718,0.84078,0.85394,0.6595,0.77269,0.56048,0.79768,0.72498,0.82594,0.000297766,9.92555e-05,0.000297766,9.92555e-05,0.000297766,9.92555e-05,0.000297766,9.92555e-05
47,583.934,0.88954,1.39249,0.83785,0.8798,0.64686,0.78207,0.57017,0.79337,0.71646,0.82518,0.00029245,9.74834e-05,0.00029245,9.74834e-05,0.00029245,9.74834e-05,0.00029245,9.74834e-05
48,597.629,0.8823,1.37753,0.83549,0.83127,0.70016,0.78672,0.57302,0.79903,0.71449,0.82685,0.000287134,9.57113e-05,0.000287134,9.57113e-05,0.000287134,9.57113e-05,0.000287134,9.57113e-05
49,610.977,0.88514,1.3857,0.83619,0.8602,0.68748,0.80097,0.58586,0.79156,0.70123,0.82555,0.000281818,9.39392e-05,0.000281818,9.39392e-05,0.000281818,9.39392e-05,0.000281818,9.39392e-05
